condition_id,prompt_id,ordering_mode,ordering_label,temperature,n_total,n_valid,n_invalid,invalid_rate,chi_square_stat,chi_square_pvalue,entropy_bits,kl_to_uniform_bits,js_to_uniform_bits,mean_candidate_mass_total,mean_policy_candidate_mass_total,observed_vs_candidate_corr,observed_vs_policy_candidate_corr
phase2_qwen_list_answer__ascending__temp_0p00,phase2_qwen_list_answer,ascending,ascending,0.0,40,40,0,0.0,320.00000000000006,2.2659991468528605e-64,-0.0,3.169925001442312,0.7394468924503992,nan,nan,nan,nan
phase2_qwen_list_answer__descending__temp_0p00,phase2_qwen_list_answer,descending,descending,0.0,40,40,0,0.0,255.20000000000005,1.3604260741519655e-50,0.4689955935892812,2.7009294078530317,0.6420877896159621,nan,nan,nan,nan
phase2_qwen_list_answer__random_001__temp_0p00,phase2_qwen_list_answer,random,random_001,0.0,40,40,0,0.0,302.4500000000001,1.2393105308999536e-60,0.16866093149667025,3.001264069945642,0.6945443733639592,nan,nan,nan,nan
phase2_qwen_list_answer__random_002__temp_0p00,phase2_qwen_list_answer,random,random_002,0.0,40,40,0,0.0,255.20000000000005,1.3604260741519655e-50,0.4689955935892812,2.7009294078530317,0.6420877896159621,nan,nan,nan,nan
phase2_qwen_list_answer__random_003__temp_0p00,phase2_qwen_list_answer,random,random_003,0.0,40,40,0,0.0,124.25000000000001,4.387716189711439e-23,1.3383057474344184,1.8316192540078937,0.4783314012503068,nan,nan,nan,nan
